doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
다행이군요.	2	2	2	2	2	2	2	2	2	2
들어오세요.	2	2	2	2	2	2	2	2	2	2
코트는 이리 주시겠어요?	2	2	2	2	2	2	2	2	2	2
네, 고맙습니다.	2	2	2	2	2	2	2	2	2	2
참 멋진 집이군요!	2	2	2	2	0	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
준혁아.	2	2	2	2	2	2	2	2	2	2
내가 올해로 교편생활 딱 15년째야.	2	2	2	2	2	2	2	2	2	2
인제 니들 눈만 봐도 거짓말인지 아닌지 다 알거든?	2	2	2	2	2	2	2	2	2	2
솔직히 컨닝했잖아.	2	2	2	2	2	2	1	2	2	2
진짜 아니라니까요.	2	2	2	2	2	2	2	2	2	2
임마 너 지난 달 영어점수가 52점이였어.	2	2	2	2	2	2	2	2	2	2
근데 갑자기 97점이 말이 돼?	2	2	2	2	2	2	2	2	2	2
그게..진짜 그냥 다 아는 문제가 나와서..	2	2	2	2	2	2	2	2	2	2
거짓말을 하려면 좀 성의있게 하던지..	2	2	2	2	2	2	2	2	2	2
아씨..거짓말 같지만 진짜라니까요.	2	2	2	2	2	2	2	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
나 실직했어.	2	2	2	2	2	2	2	2	2	2
저축한 돈으로만 살려니 두려워.	2	2	2	2	2	2	2	2	0	2
실직상태일 때는 늘 스트레스지.	2	2	2	2	2	2	2	2	2	2
이런 휴식시간을 즐기고도 싶지만, 내가 날 가만 못 놔두는 거야.	2	2	2	2	2	2	2	2	2	2
일주일만 푹 쉬어봐.	2	2	2	2	2	2	0	2	2	2
그런 다음에 일자리를 찾아 다녀 보라고.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이런 식으론 효과 없어!	2	2	2	2	0	2	2	2	2	2
한방에 몇 년 확 젊어 보이는 건 없어?	2	2	2	2	2	2	2	2	2	2
없는 건 아닌데요..별로 권해드리고 싶지가 않아서..	2	2	2	2	2	2	2	2	2	2
뭔데?	2	2	2	2	2	2	2	2	2	2
권해줘 괜찮아.	0	2	2	2	2	2	2	2	2	2
그게 뭔데?	2	2	2	2	2	2	2	2	2	2
뭐야?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕하세요.	2	2	2	2	2	2	2	2	2	2
닉 앤더슨 사무실입니다.	2	2	2	2	2	2	2	2	2	2
죄송합니다.	2	2	2	2	2	2	2	2	2	2
지금은 자리를 비우셨습니다.	2	2	2	2	2	2	2	2	2	2
언제 돌아올까요?	2	2	2	2	2	2	2	2	2	2
오늘은 하루 종일 계속 왔다 갔다 하실 거라고 그러셨어요.	2	2	2	2	2	2	2	2	2	2
급히 통화를 좀 했으면 하는데요.	2	2	2	2	2	2	2	2	2	2
메시지를 남기시겠어요?	2	2	2	2	2	2	2	2	2	2
예.	2	2	2	2	2	2	2	2	2	2
오늘밤 야구경기에 가고 싶으면 래리가 티켓을 갖고 있다고 전해주세요.	2	2	2	2	2	2	2	2	2	2
그렇게 전해드리겠습니다.	2	2	2	2	2	2	2	2	2	2
기회가 되면 저한테 전화해 달라고 전해주세요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕 버트.	2	2	2	2	2	2	2	2	2	2
일자리 찾고 있다며.	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
어제 면접 봤어.	2	2	2	2	2	2	2	2	2	2
어떻게 됐어?	2	2	2	2	2	2	2	2	2	2
잘 된 것 같아.	0	2	2	2	2	2	2	2	1	2
금요일까지 결정한다고 하더라고.	2	2	2	2	2	2	2	2	2	2
사람을 급하게 써야 되는구나.	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
그런 것 같아.	2	2	2	2	2	2	2	2	2	2
취직이 될 가능성은 좀 있어?	2	2	2	2	2	2	2	2	2	2
가능성이 높다고 봐.	2	2	2	2	2	2	2	2	1	2
그럼 잘 되길 빌어.	2	2	2	2	2	2	0	2	2	2
고마워.	2	2	2	2	2	2	2	2	2	2
회사에서 연락 오면 너한테 전화할게.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
올 크리스마스 때 무슨 계획이 있으세요?	2	2	2	2	2	2	2	2	2	2
어디 봅시다.	2	2	2	2	2	2	2	2	2	2
아직 계획이 없어요.	2	2	2	2	2	2	2	2	2	2
왜요?	2	2	2	2	2	2	2	2	2	2
우리 집으로 초대하고 싶은데요.	2	2	2	2	0	2	0	2	2	2
좋지요.	0	2	2	2	2	2	0	2	2	2
제가 뭘 좀 가져갈까요?	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
믿지 못할 일이 일어났어.	2	2	2	2	2	2	2	2	2	2
뭔데?	2	2	2	2	2	2	2	2	2	2
어제 수퍼마켓에서 우연히 고등학교 때 여자친구를 만났잖아.	2	2	2	2	2	2	2	2	2	2
정말?	2	2	2	2	2	2	2	2	2	2
와!	2	2	2	2	2	2	2	2	2	2
어떻든?	2	2	2	2	2	2	2	2	2	2
멋졌어!	2	2	2	2	2	2	2	2	2	2
예전하고 똑같이 예뻐.	2	2	2	2	2	2	2	2	2	2
아직도 옛날하고 똑같은 감정이 느껴져?	2	2	2	2	2	2	2	2	2	2
이상하게도 똑같아.	2	2	2	2	2	2	2	2	2	2
그럼 그 여자는 너에 대해서 어떻게 느끼는데?	2	2	2	2	2	2	2	2	2	2
잘 모르겠어.	2	2	2	2	2	2	2	2	2	2
우리 다음 주에 데이트하기로 했어.	2	2	2	2	2	2	2	2	2	2
고등학교 때 여자친구와 만나기로 했다고?	2	2	2	2	2	2	2	2	2	2
와!	2	2	2	2	2	2	2	2	2	2
이거 재미있겠는데.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
윌 본적 있어요?	2	2	2	2	2	2	2	2	2	2
네.	2	2	2	2	2	2	2	2	2	2
지난 주에 마주친 적이 있는데요.	2	2	2	2	2	2	2	2	2	2
농담하자는 게 아니에요.	2	2	2	2	2	2	2	2	2	2
내가 두 시간째 윌을 찾아다녔는데 지금 당장 봐야 한다구요.	2	2	2	2	2	2	2	2	2	2
어디 있는지 모르겠지만 큰일 난 것 같긴 하군요.	2	2	2	2	2	2	2	2	2	2
그거야 당신이 상관할 게 아니죠.	2	2	2	2	2	2	1	1	2	2
좀 찾아보세요.	2	2	2	2	2	2	2	2	2	2
네.	2	2	2	2	2	2	2	2	2	2
최선을 다해보죠.	2	2	2	2	2	2	2	2	2	2
난 내 사무실에 있을 겁니다.	2	2	2	2	2	2	2	2	2	2
핸드폰 해보셨어요?	2	2	2	2	2	2	2	2	2	2
네.	2	2	2	2	2	2	2	2	2	2
메시지를 남겼어요.	2	2	2	2	2	2	2	2	2	2
브리트니하고 얘기해볼게요.	2	2	2	2	2	2	2	2	2	2
어디 있는지 브리트니가 알지도 몰라요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
축하한다 얘.	2	2	2	2	2	2	0	2	2	2
아유 아무것도 아니예요.	2	2	2	2	2	2	2	2	2	2
아무것도 아니긴요.	2	2	2	2	2	2	2	2	2	2
저 드라마 뜨면 제수씨도 뜨는 거 잖아요.	2	2	2	2	2	2	2	2	2	2
축하해.	2	2	2	2	2	2	2	2	2	2
예 고맙습니다.	2	2	2	2	2	2	2	2	2	2
뭐야..뭐하는 거야 다들..	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
지난 일년 반 동안 따로 모아 둔 돈에 드디어 손을 댔어.	2	2	2	2	2	2	2	2	2	2
그걸로 뭘 했는데?	2	2	2	2	2	2	2	2	2	2
크레딧카드 빚을 갚았지.	2	2	0	2	2	2	2	2	2	2
그거 잘했구만.	2	2	2	2	2	2	0	2	2	2
응 빚이 엄청 쌓이는데 별로 오래 걸리지도 않아.	2	2	2	2	2	2	2	2	2	2
또 그 돈으로 다른 건 뭐 안했어?	2	2	2	2	2	2	2	2	2	2
내가 얘기했던 그 양복을 샀어.	2	2	2	2	2	2	2	2	2	2
그건 일하는데 필요하잖아.	2	2	2	2	2	2	2	2	2	2
뭣에나 좀 펑펑 쓰지는 않았어?	2	2	2	2	2	2	2	2	2	2
아직.	2	2	2	2	2	2	2	2	2	2
네가 나하고 함께 아주 비싼 식당에서 함께 좀 과용해줄까 생각하고 있어.	2	2	2	2	0	2	0	2	2	2
기꺼이 그럴게.	2	2	2	2	2	2	0	2	2	2
새로 산 드레스 입으면 되겠네.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
서울에 가려는데요.	2	2	2	2	2	2	2	2	2	2
금요일밤에 가는 표를 구할 수 있나요?	2	2	2	2	2	2	2	2	2	2
천천히 말씀해 주실래요.	2	2	2	2	2	2	2	2	2	2
서울행 표를 사려고 합니다.	2	2	2	2	2	2	2	2	2	2
언제요?	2	2	2	2	2	2	2	2	2	2
금요일 밤에요.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이 수표를 현금으로 바꾸고 싶습니다.	2	2	2	2	2	2	2	2	2	2
알겠습니다.	2	2	2	2	2	2	2	2	2	2
뒷면에 이서를 해주십시오.	2	2	2	2	2	2	2	2	2	2
어떻게 바꾸어 드릴까요?	2	2	2	2	2	2	2	2	2	2
고액권으로 주십시오.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
실례해요, 그만 가봐야 될 것 같아요.	2	2	2	2	2	2	2	2	2	2
그럼, 조만간에 또 놀러 오세요.	2	2	2	2	2	2	2	2	2	2
다음에는 저희 집에서 한번 모이죠.	2	2	2	2	0	2	0	2	2	2
좋아요.	2	2	2	2	2	2	2	2	2	2
그거 아주 좋겠어요.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이제 곧 추수감사절이야.	2	2	2	2	2	2	2	2	2	2
그러게.	2	2	2	2	2	2	2	2	2	2
자네는 계획이 있어?	2	2	2	2	2	2	2	2	2	2
난 라스베이거스에 가서 우리 아들 가족하고 추수감사절을 지낼 거야.	2	2	2	2	0	2	2	2	2	2
그거 좋네.	2	2	2	2	2	2	2	2	2	2
그럼 자넨?	2	2	2	2	2	2	2	2	2	2
늘 하던대로.	2	2	2	2	2	2	2	2	2	2
샌타바버러에 가서 더그와 미치코와 지낼 거야.	2	2	2	2	2	2	2	2	2	2
난 추수감사절이 정말 좋아.	2	2	2	2	2	2	2	2	2	2
나도.	2	2	2	2	2	2	0	2	2	2
아마 체중이 좀 늘겠지.	2	2	2	2	2	2	2	2	2	2
감사하고 축하하는 때야.	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
창문을 열어도 될까요?	2	2	2	2	2	2	2	2	2	2
그러세요.	2	2	2	2	2	2	2	2	2	2
더우세요?	2	2	2	2	2	2	2	2	2	2
네, 조금요.	2	2	2	2	2	2	2	2	2	2
그러면 히터를 꺼야겠군요.	2	2	2	2	2	2	2	2	2	2
히터를 켰었어요?	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
내가 먹는 영양제 완전 죽여줘.	2	2	2	2	0	2	2	2	2	2
그런 건 카페인 덩어리야.	2	2	2	2	2	2	1	2	2	2
자연식으로 영양을 섭취해야지.	2	2	2	2	2	2	2	2	2	2
네가 틀려.	2	2	2	2	2	2	1	2	2	2
이게 영양제 중 최고라니까.	2	2	2	2	0	2	2	2	2	2
더 이상 왈가왈부하지마.	2	2	2	2	2	2	1	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
당신에 대해서 말씀 많이 들었습니다.	2	2	2	2	2	2	2	2	2	2
만나서 영광입니다.	2	2	2	2	2	2	2	2	2	2
제가 영광입니다.	2	2	2	2	2	2	2	0	2	2
저희 둘 다 아는 그 친구가 당신 칭찬을 많이 하더라구요.	2	2	2	2	0	2	2	0	2	2
그 친구 과장해서 말하는 데가 있어요.	2	2	2	2	2	2	2	2	2	2
그래도 고맙긴 하네요.	2	2	2	2	2	2	0	2	2	2
그 친구가 말한 것처럼 당신은 어느 모로 보나 흥미로운 사람이 분명해요.	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
혹시라도 한국어를 배우고 싶다면 내가 도와줄게.	2	2	2	2	2	2	0	2	2	2
말이라도 너무 고마워.	2	2	2	2	2	2	2	2	2	2
친구 좋다는 게 뭐야?	2	2	2	2	2	2	0	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
여보?	2	2	2	2	2	2	2	2	2	2
뭐해?	2	2	2	2	2	2	2	2	2	2
계단 벽에 칠 떨어진 데 다시 한다한다 하면서 미루고 있었거든.	2	2	2	2	2	2	2	2	2	2
그거 칠하고 왔어.	2	2	0	2	2	2	2	2	2	2
페인트칠?	2	2	2	2	2	2	2	2	2	2
그걸 왜 지금..?	2	2	2	2	2	2	2	2	2	2
이제 출근하면 시간 없잖아.	2	2	0	2	2	2	2	2	2	2
그래두 들어가서 좀 쉬어.	2	2	2	2	2	2	0	2	2	2
내일부터 진짜 바빠질텐데.	2	2	2	2	2	2	2	2	2	2
이거만 하고.	2	2	0	2	2	2	2	2	2	2
박간호사 펜이랑 종이 있음 좀 줘요.	2	2	2	2	2	2	2	2	2	2
네.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
와!	2	2	2	2	2	2	2	2	2	2
켈리!	2	2	2	2	2	2	2	2	2	2
왜 그래?	2	2	2	2	2	2	2	2	2	2
새로운 머리 스타일이 난 익숙해지지가 않네.	2	2	2	2	2	2	2	2	2	2
그래 새로운 스타일이니까.	2	2	2	2	2	2	2	2	2	2
머리가 굉장히 짧아서.	2	2	2	2	2	2	2	2	2	2
변모해보려고 마음을 먹었거든.	2	2	2	2	0	2	2	2	2	2
좋은 것 같아.	2	2	2	2	2	2	2	2	2	2
아주 달라서.	2	2	2	2	2	2	2	2	2	2
너도 머리 스타일좀 바꿔보지?	0	2	2	2	2	2	2	2	2	2
나?	2	2	2	2	2	2	2	2	2	2
아냐.	2	2	2	2	2	2	2	2	2	2
난 지금 스타일이 맘에 들어.	1	2	2	2	2	2	2	0	2	2
머리 스타일을 바꾸면 생활에 활기를 불어넣을 수도 있어.	0	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
어제 어디 있었어?	0	2	2	2	2	2	2	2	2	2
어머니 모시고 병원에 가야했어.	2	2	2	2	2	2	2	2	2	2
또?	2	2	2	2	2	2	2	2	2	2
이번엔 또 뭐야?	2	2	2	2	2	2	2	2	2	2
심장인 것 같아.	2	2	2	2	2	2	2	2	2	2
오늘은 좀 어떠셔?	0	2	2	2	2	2	2	2	2	2
그저 그래.	2	2	2	2	2	2	2	2	2	2
얼마나 심각해?	0	2	2	2	2	2	2	2	2	2
간호사가 옆에 항상 있어야 돼.	2	2	2	2	2	2	2	2	2	2
이번에도 회복하셔야 될텐데.	2	2	2	2	2	2	0	2	2	2
나도.	2	2	2	2	2	2	0	2	2	2
많은 일을 거치셨으니 말야.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
스몰웨딩이 유행인가 봐.	2	2	2	2	2	2	2	2	2	2
그러게.	2	2	2	2	2	2	2	2	2	2
나도 올해 결혼식 여러 번 갔었는데 결혼식들이 점점 더 소규모가 되가는 것 같아.	2	2	2	2	2	2	2	2	2	2
요즘 사람들은 이 중요한 날을 가장 친하고 가장 소중한 사람들이랑만 보내고 싶어하나 봐.	2	2	2	2	2	2	2	2	2	2
음, 내 결혼식 때는 우리 부모님이 동네주민을 다 초대하셨어.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
다운로드 할 영화 하나 고르려고 하는데, 다 이미 본 영화들이야.	2	2	2	2	2	2	2	2	2	2
극장 상영하는 거 재미있는 거 없어?	2	2	2	2	2	2	2	2	2	2
별로.	2	2	2	2	2	2	2	2	2	2
옛날 영화 좀 찾아봐.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
죄송합니다 죄송합니다	2	2	2	2	2	2	2	2	2	2
어이 신지씨 지금 몇 시야?	2	2	2	2	2	2	2	2	0	2
당신 하나 때문에 온 스텝 들이 다 기다려야겠어?	2	2	2	2	2	2	1	2	0	2
죄송합니다.	2	2	2	2	2	2	2	2	2	2
진짜 죄송합니다.	2	2	2	2	2	2	2	2	2	2
바로 녹음 시작할까요?	2	2	2	2	2	2	2	2	2	2
됐어.	2	2	2	2	2	2	1	2	2	2
벌써 다른 가수 연락했으니까 담에 보자구.	2	2	2	2	2	2	1	2	0	2
네?	2	2	2	2	2	2	2	2	2	2
집에 가서 자던 잠이나 계속 자.	2	2	2	2	2	2	1	2	0	2
뭐해?	2	2	2	2	2	2	2	2	2	2
안 나가고?	2	2	2	2	2	2	1	2	0	2
아씨.	2	2	2	2	2	2	2	2	0	2
치사뽕하게 내가 몇일을 늦었어?	2	2	2	2	2	2	1	2	0	2
겨우 몇 분 늦은거 가지고.	2	2	2	2	2	2	1	2	0	2
그리고 너 아까부터 왜 반말이야?	2	2	2	2	2	2	1	2	0	2
너 나 본적있어?	2	2	2	2	2	2	1	2	0	2
너 나 알어?	2	2	2	2	2	2	1	2	0	2
나랑 친해?	2	2	2	2	2	2	1	2	0	2
아니요.	2	2	2	2	2	2	2	2	2	2
근데 왜 니 맘대로 말을 까?	2	2	2	2	2	2	1	1	0	2
확!	2	2	2	2	2	2	1	2	0	2
까버릴까 보다 진짜.	2	2	2	2	2	2	1	2	0	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
자네 직장 때문에 우울하다면서.	2	2	2	2	2	2	2	2	2	2
맞아.	2	2	2	2	2	2	2	2	2	2
문제가 뭐야?	2	2	2	2	2	2	2	2	2	2
봉급이 쥐꼬리만하다는 거 그게 문제지.	2	2	2	2	2	2	1	2	2	2
봉급인상은 요청해봤어?	2	2	2	2	2	2	2	2	2	2
당연하지!	2	2	2	2	2	2	0	2	2	2
상사가 뭐래?	2	2	2	2	2	2	2	2	2	2
거절해버리더군.	2	2	2	2	2	2	2	2	2	2
그럼 이제 어떡할 거야?	2	2	2	2	2	2	2	2	2	2
다른 직장을 찾아야지.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
축하해, 스테파니!	2	2	2	2	2	2	0	2	2	2
너 정말 상 받을 만 해.	2	2	2	2	2	2	0	2	2	2
작년에 성공적으로 팀을 이끌었잖아.	2	2	2	2	2	2	2	2	2	2
자랑스럽겠다!	2	2	2	2	2	2	0	2	2	2
고마워, 조이. 작년에 우리 팀원들 모두 다 정말 열심히 했어.	2	2	2	2	0	2	0	2	2	2
너네 팀 오늘 밤에 축하하러 가겠네.	2	2	2	2	2	2	2	2	2	2
생각해둔 장소 있어?	2	2	2	2	2	2	2	2	2	2
아직 어디 갈지 결정은 못했어.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
왜 또?	2	2	2	2	2	2	2	2	2	2
불안해서..	2	2	2	2	2	2	2	2	2	2
너 잘하고 있는 거지?	2	2	2	2	2	2	2	2	2	2
교감선생님이 걱정하시더라구.	2	2	2	2	2	2	2	2	2	2
참 걱정도 팔자다.	2	2	2	2	2	2	2	2	2	2
그걸 왜 오빠가 걱정하고 있어?	2	2	2	2	2	2	2	2	2	2
내가 너 소개했으니까 그렇지.	2	2	2	2	2	2	2	2	2	2
만약에 잘못돼봐.	2	2	2	2	2	2	2	2	0	2
고스란히 그 책임이 나한테 올 거 아냐!	2	2	2	2	2	2	2	2	0	2
그러세요?	2	2	2	2	2	2	2	2	2	2
다시 쓴 거 들어봐도 돼?	2	2	2	2	2	2	2	2	2	2
맘대로 해.	2	2	2	2	2	2	2	2	2	2
연습 하려고 준비 중이니까.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
주말 어땠어?	2	2	2	2	2	2	2	2	2	2
뭐하고 지냈어?	2	2	2	2	2	2	2	2	2	2
조용한 주말을 보냈지.	2	2	2	2	2	2	2	2	2	2
별 것 안했어?	2	2	2	2	2	2	2	2	2	2
샤핑을 가긴 했어.	2	2	2	2	2	2	2	2	2	2
뭘 샀는데?	2	2	2	2	2	2	2	2	2	2
운동화 두 켤레하고 양말 조금 그리고 티셔츠 좀 샀어.	2	2	2	2	2	2	2	2	2	2
얼마나 들었어?	2	2	2	2	2	2	2	2	2	2
다 합해서 한 60달러 썼지.	2	2	2	2	2	2	2	2	2	2
지금 새 운동화 신고 있는 거야?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
깔끔해보이지 안그래?	2	2	2	2	0	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
있잖아, 목욕탕 세면대가 예전 상태로 돌아갔어.	2	2	2	2	2	2	2	2	2	2
뭐가 문제야?	2	2	2	2	2	2	2	2	2	2
세면대 밑에 있는 파이프에서 다시 물이 새.	2	2	2	2	2	2	2	2	2	2
네가 고친 줄 알았는데.	2	2	2	2	2	2	2	2	2	2
고쳤지.	2	2	2	2	2	2	2	2	2	2
일을 제대로 안한 것 같아.	2	2	2	2	2	2	2	2	2	2
배관공을 불러서 전문가에게 맡기는 게 최고야.	2	2	2	2	2	2	2	2	2	2
이 고생을 하며 그걸 깨닫는 중이야	2	2	2	2	2	2	2	2	2	2
내가 아는 배관공에게 전화해.	2	2	2	2	2	2	2	2	2	2
일을 잘 해.	2	2	2	2	2	2	2	2	2	2
전화번호 여기 있어.	2	2	2	2	2	2	2	2	2	2
돈이 많이 들겠지?	2	2	2	2	2	2	2	2	0	2
아니 아주 적당한 가격이야.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
난 잠시 쉬어야겠어.	2	2	2	2	2	2	2	2	2	2
왜?	2	2	2	2	2	2	2	2	2	2
뭐가 잘못됐어?	2	2	2	2	2	2	2	2	2	2
응, 새 신발 때문에 죽을 지경이야.	2	2	2	2	2	2	2	2	2	2
오, 저런, 저 물집 좀 봐!	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
이번 주말 자네 뭐해?	2	2	2	2	2	2	2	2	2	2
골프 좀 치려고.	2	2	2	2	2	2	2	2	2	2
자넨?	2	2	2	2	2	2	2	2	2	2
자전거를 좀 보려고.	2	2	2	2	2	2	2	2	2	2
정말?	2	2	2	2	2	2	2	2	2	2
자전거 사려는 거야?	2	2	2	2	2	2	2	2	2	2
응.	2	2	2	2	2	2	2	2	2	2
난 자네한테 자전거 있는 줄 알았는데.	2	2	2	2	2	2	2	2	2	2
있었는데 팔았어.	2	2	2	2	2	2	2	2	2	2
한참 됐어.	2	2	2	2	2	2	2	2	2	2
언제 한번 같이 타러 가자.	2	2	2	2	2	2	2	2	2	2
좋지.	2	2	2	2	2	2	2	2	2	2
우리 집 근처에 자전거 타는 길 좋은 데가 있어.	2	2	2	2	2	2	2	2	2	2
먹을 것도 좀 가지고 가서 하루를 즐겨볼까.	2	2	2	2	2	2	2	2	2	2
그러지.	2	2	2	2	2	2	2	2	2	2
날을 정하지.	2	2	2	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
보통 몇 시에 일어나세요?	2	2	2	2	2	2	2	2	2	2
난 7시에 일어나지.	2	2	2	2	2	2	2	2	2	2
어떻게 깨세요?	2	2	2	2	2	2	2	2	2	2
보통 자명종이 울리면 일어나.	2	2	2	2	2	2	2	2	2	2
자명종은 몇 시에 맞춰놓는데요?	2	2	2	2	2	2	2	2	2	2
매일 7시에 맞춰놓지.	2	2	2	2	2	2	2	2	2	2
금방 일어나세요?	2	2	2	2	2	2	2	2	2	2
아니.	2	2	2	2	2	2	2	2	2	2
몇 분 누워 있어야 정신을 차리지.	2	2	2	2	2	2	2	2	2	2
항상 그렇게 하세요?	2	2	2	2	2	2	2	2	2	2
아 그렇지...휴일이나 주말이나 아플 때도 항상 그래.	2	2	0	2	2	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
안녕하세요 선생님.	2	2	2	2	2	2	2	2	2	2
실례 좀 하겠습니다.	2	2	2	2	2	2	2	2	2	2
제가 쓰고 있는 기사 때문에 몇 가지 질문을 드리고 싶어서요.	2	2	2	2	2	2	2	2	2	2
글쎄요 제가 비행기를 타려고 기다리고 있는데 괜찮을 거 같습니다.	2	2	2	2	2	2	2	2	2	2
감사합니다 선생님.	2	2	2	2	2	2	2	2	2	2
비행기를 얼마나 자주 타시죠?	2	2	2	2	2	2	2	2	2	2
한 달에 두 번 정도 비행기 여행을 합니다.	2	2	2	2	2	2	2	2	2	2
오늘 여행은 목적지가 어딘가요?	2	2	2	2	2	2	2	2	2	2
텍사스 오스틴으로 갑니다.	2	2	2	2	2	2	2	2	2	2
지난 번 여행은 어디로 가셨었나요?	2	2	2	2	2	2	2	2	2	2
며칠 전 오리건주 포틀랜드에 갔었습니다.	2	2	2	2	2	2	2	2	2	2
몇 번 갔던 곳이죠.	2	2	2	2	2	2	2	2	2	2
그러세요?	2	2	2	2	2	2	2	2	2	2
비행기 타는 출장 좋아하세요?	2	2	2	2	2	2	2	2	2	2
그런 거 안가도 괜찮습니다.	2	2	2	2	1	2	2	2	2	2
사실은 사무실에 있는 게 더 좋습니다.	1	2	2	2	1	2	2	2	2	2
doc	O_gold	O_pred	C_gold	C_pred	E_gold	E_pred	A_gold	A_pred	N_gold	N_pred
교수님 시간 좀 있으세요?	2	2	2	2	2	2	2	2	2	2
앨버트구나.	2	2	2	2	2	2	2	2	2	2
시간은 만들어야지.	0	2	2	2	2	2	0	2	2	2
